close,high,low,trade_count,open,volume,vwap
62.58,63.16,62.375,26936,63.08,2179905,62.6918
61.81,62.36,61.415,33544,62.07,2681148,61.809954
59.71,61.67,59.675,29678,61.67,2234586,60.214451
58.77,59.91,58.47,31049,59.56,2377813,58.956802
57.36,59.19,57.215,38690,59.15,2882078,57.659119
58.15,58.83,57.6111,34140,58.01,3917811,58.119879
55.73,57.85,55.15,44894,57.81,3621835,55.743507
56.05,56.265,54.21,42397,55.19,3123829,55.689223
56.11,56.305,55.075,34080,56.11,2767726,55.887859
55.21,56.03,54.87,30051,55.79,2366955,55.256557
55.81,55.98,53.1,39482,54.45,3080817,54.878293
57.24,57.27,55.6,32205,55.81,2771065,56.753165
58.28,58.55,57.465,42673,57.51,3144430,58.107178
58.97,59.025,57.92,32304,58.65,2269239,58.60671
54.56,59.26,54.14,71458,58.79,6297003,55.687894
55.03,55.09,53.72,51948,54.42,4950976,54.62947
56.2,56.435,53.85,43367,55.25,3413710,55.871994
55.46,56.5425,55.24,29546,55.56,2103505,55.601585
54.49,55.705,54.29,33077,55.36,3089992,54.639178
53.9,54.93,53.81,32699,54.28,2376682,54.214571
53.5,54.82,53.37,28659,53.94,2905956,53.815723
52.46,53.39,52.21,41886,52.86,3189657,52.685964
54.03,54.395,52.92,30418,53.22,2546501,53.872683
54.22,54.36,53.16,28962,53.22,2372238,54.015129
54.16,55.4,54.13,33822,54.48,2644162,54.4508
53.16,54.59,52.98,37385,54.0,2296827,53.410798
53.39,53.97,52.445,37332,53.44,2651662,53.145358
53.79,54.09,53.04,30964,53.66,2919712,53.679402
53.09,53.8,52.03,43234,53.07,3497472,53.086264
54.28,54.6355,53.45,40720,53.51,2797434,54.292686
55.43,56.31,54.925,51965,55.39,4049380,55.569357
56.56,56.61,54.69,63112,54.83,5270655,56.285564
56.35,57.64,55.63,48214,56.37,3137949,56.671121
55.69,56.34,54.9,30703,56.17,2249166,55.482213
54.24,56.13,54.21,33561,55.97,2427103,54.676071
53.8,54.75,53.625,27303,54.57,2398277,53.874091
53.03,53.74,52.485,39138,53.74,2981568,53.042954
56.23,56.38,54.24,42665,54.59,2972915,55.985542
57.25,57.62,56.04,42179,56.21,3170597,57.115747
57.48,58.28,56.861,37838,57.72,2821594,57.436803
58.51,58.9,57.3,47070,57.63,5534297,58.484674
58.3,58.59,57.12,32583,58.06,2658752,58.24904
58.82,59.03,57.99,32896,58.41,2660822,58.7827
59.53,59.6,58.48,37555,59.09,3808986,59.358906
59.26,59.61,58.95,12364,59.41,946551,59.247894
59.04,59.45,58.61,27107,59.33,2353137,59.135709
59.93,60.23,58.81,28979,59.1,2586837,59.795538
59.71,60.825,59.451,32632,60.17,2561964,60.078732
59.41,60.06,58.91,39866,59.98,6350151,59.435766
60.78,60.79,59.2,29642,59.51,2103320,60.34096
60.69,61.18,59.47,28723,60.11,2223513,60.734392
60.19,60.87,59.62,33554,60.6,2029667,60.101035
60.6,60.94,60.1,32546,60.66,2653066,60.563555
60.37,60.75,59.5,37441,60.75,2712507,60.200497
59.65,60.68,59.47,25179,60.45,1921792,59.820546
60.79,60.91,59.16,36152,59.28,2885309,60.587507
